STATION,STATION_NAME,DATE,MTD-PRCP-NORMAL,YTD-PRCP-NORMAL,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100201,5,145,261,114,319,204,97,57,101,102
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100202,10,150,262,115,320,205,97,57,100,101
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100203,16,156,263,115,321,206,96,57,100,101
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100204,21,161,264,116,322,207,96,57,100,100
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100205,27,167,265,116,323,208,95,57,100,99
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100206,33,173,267,116,325,209,95,57,99,99
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100207,38,178,268,117,326,210,94,57,99,98
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100208,44,184,269,117,328,211,94,57,99,98
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100209,50,190,271,118,330,212,94,58,99,97
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100210,57,197,272,119,332,213,93,58,99,97
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100211,63,203,274,119,334,214,93,58,99,96
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100212,69,209,276,120,336,216,93,58,99,96
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100213,76,216,277,121,338,217,93,58,99,95
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100214,82,222,279,121,340,219,92,59,99,95
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100215,88,228,281,122,342,220,92,59,99,95
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100216,94,234,283,123,345,222,92,60,100,94
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100217,100,240,285,124,347,223,92,60,100,94
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100218,106,246,287,125,350,225,92,60,100,94
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100219,111,251,289,126,352,227,92,61,101,94
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100220,117,257,292,127,355,228,92,61,101,93
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100221,123,263,294,128,358,230,92,62,101,93
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100222,129,269,296,129,361,232,93,62,102,93
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100223,136,276,299,130,364,234,93,62,102,93
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100224,142,282,301,131,367,236,93,63,103,92
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100225,149,289,304,132,370,238,93,63,103,92
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100226,155,295,307,133,373,240,93,64,104,92
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100227,163,303,309,134,377,242,93,64,104,92
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100228,170,310,312,136,380,244,93,64,105,91
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100301,7,317,315,137,383,247,93,64,106,91
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100302,13,323,318,138,387,249,93,65,106,91
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100303,19,329,321,139,390,251,93,65,106,90
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100304,25,335,324,140,394,254,93,65,106,90
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100305,31,341,327,141,398,256,93,66,107,89
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100306,38,348,330,143,401,259,93,66,107,89
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100307,44,354,333,144,405,261,93,66,108,88
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100308,50,360,336,145,409,264,93,67,108,88
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100309,56,366,340,146,413,267,92,67,108,87
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100310,62,372,343,147,417,269,92,67,108,87
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100311,68,378,346,148,420,272,92,68,109,87
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100312,74,384,350,149,424,275,92,68,109,86
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100313,79,389,353,151,428,278,92,68,110,86
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100314,85,395,357,152,432,281,92,69,110,86
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100315,92,402,360,153,437,284,92,69,110,86
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100316,98,408,364,154,441,287,92,69,110,85
GHCND:USW00014822,DETROIT CITY AIRPORT MI US,20100317,105,415,367,155,445,290,92,69,110,85
