STATION,STATION_NAME,DATE,PRCP,**,**,TMAX,TMIN
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150415,0,0,0,161,87
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150416,9,0,0,176,99
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150417,23,0,0,248,115
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150418,0,0,0,242,156
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150419,408,0,0,191,112
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150420,184,0,0,243,111
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150421,0,0,0,180,99
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150422,0,0,0,200,78
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150423,0,0,0,158,42
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150424,0,0,0,172,37
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150425,94,0,0,114,29
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150426,38,0,0,146,30
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150427,0,0,0,151,54
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150428,0,0,0,189,40
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150429,0,0,0,218,109
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150430,198,0,0,205,100
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150501,56,0,0,143,94
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150502,0,0,0,208,102
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150503,0,0,0,238,144
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150504,0,0,0,264,164
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150506,20,0,0,266,164
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150507,0,0,0,232,150
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150508,0,0,0,253,164
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150509,0,0,0,247,154
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150510,80,0,0,257,176
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150511,9,0,0,264,178
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150512,0,0,0,289,193
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150513,0,0,0,200,91
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150514,0,0,0,177,74
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150515,0,0,0,234,99
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150516,45,0,0,281,158
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150517,10,0,0,255,193
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150518,0,0,0,289,197
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150519,0,0,0,287,184
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150520,0,0,0,236,145
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150521,73,0,0,145,99
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150522,0,0,0,215,82
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150523,0,0,0,210,115
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150524,0,0,0,258,128
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150525,0,0,0,258,156
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150526,0,0,0,282,165
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150527,0,0,0,280,198
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150528,25,0,0,281,194
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150529,0,0,0,273,190
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150530,0,0,0,285,181
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150531,0,0,0,290,183
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150601,62,0,0,299,176
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150602,18,0,0,202,129
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150603,112,0,0,136,122
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150604,122,0,0,142,121
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150605,0,0,0,216,136
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150606,0,0,0,260,165
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150607,0,0,0,243,165
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150608,0,0,0,280,163
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150609,0,0,0,272,177
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150610,0,0,0,257,183
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150611,0,0,0,308,221
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150612,35,0,0,305,225
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150613,6,0,0,310,229
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150614,42,0,0,309,215
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150615,0,0,0,323,243
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150616,0,0,0,319,240
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150617,106,0,0,259,208
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150618,0,0,0,310,206
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150619,0,0,0,269,208
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150620,350,0,0,298,202
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150621,7,0,0,303,214
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150622,5,0,0,299,231
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150623,0,0,0,318,221
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150624,0,0,0,276,209
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150625,140,0,0,281,198
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150626,15,0,0,235,183
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150627,408,0,0,242,190
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150628,0,0,0,232,173
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150629,0,0,0,249,163
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150630,72,0,0,267,181
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150701,3,0,0,269,177
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150702,0,0,0,231,188
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150703,0,0,0,223,180
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150704,66,0,0,265,188
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150705,57,0,0,246,189
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150706,38,0,0,246,198
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150707,0,0,0,286,198
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150708,0,0,0,272,236
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150709,0,0,0,314,224
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150710,160,0,0,283,214
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150711,223,0,0,243,183
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150712,4,0,0,267,186
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150713,43,0,0,256,193
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150714,0,0,0,276,197
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150715,0,0,0,275,201
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150716,0,0,0,242,156
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150717,0,0,0,264,183
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150718,0,0,0,298,207
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150719,0,0,0,312,224
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150720,0,0,0,306,240
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150721,4,0,0,287,220
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150722,0,0,0,265,192
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150723,0,0,0,266,187
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150724,0,0,0,271,183
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150725,0,0,0,285,219
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150726,0,0,0,293,198
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150727,0,0,0,296,212
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150728,105,0,0,290,211
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150729,0,0,0,288,215
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150730,40,0,0,298,202
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150731,0,0,0,286,187
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150801,0,0,0,297,212
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150802,0,0,0,263,198
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150803,0,0,0,304,215
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150804,0,0,0,317,223
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150805,0,0,0,305,223
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150806,106,0,0,245,172
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150807,26,0,0,199,167
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150808,0,0,0,259,184
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150809,0,0,0,281,191
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150810,179,0,0,225,188
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150811,24,0,0,287,199
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150812,0,0,0,267,179
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150813,0,0,0,261,172
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150814,0,0,0,275,183
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150815,0,0,0,287,196
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150816,77,0,0,300,200
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150817,0,0,0,312,222
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150818,13,0,0,263,213
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150819,255,0,0,272,202
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150820,0,0,0,283,217
GHCND:USW00003759,CHARLOTTESVILLE 2 SSE VA US,20150821,0,0,0,257,182
