STATION,STATION_NAME,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150708,18,-9999,194,172
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150709,0,-9999,267,167
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150710,56,-9999,267,189
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150711,0,-9999,333,217
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150712,0,-9999,350,244
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150713,0,-9999,367,267
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150714,0,-9999,367,244
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150715,0,-9999,317,244
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150716,0,-9999,350,250
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150717,0,-9999,350,267
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150718,41,-9999,339,244
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150719,0,-9999,300,244
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150720,384,-9999,317,217
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150721,0,-9999,283,206
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150722,0,-9999,294,183
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150723,0,-9999,317,222
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150724,0,-9999,367,244
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150725,0,-9999,339,256
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150726,0,-9999,344,250
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150727,0,-9999,350,267
GHCND:USW00013988,KANSAS CITY DOWNTOWN AIRPORT MO US,20150728,0,-9999,361,256
