STATION,STATION_NAME,DATE,DLY-PRCP-25PCTL,DLY-PRCP-50PCTL,DLY-PRCP-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100403,6,22,59,31,0,1117,0,218,142,62,30,0,0,0,0,0,0,0,0,0,652,250,777,527,63,68,66,77
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100404,6,22,58,41,0,1127,0,217,140,61,30,0,0,0,0,0,0,0,0,0,654,250,779,529,63,67,65,76
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100405,6,22,58,51,0,1137,0,216,139,61,29,0,0,0,0,0,0,0,0,0,655,250,780,530,62,67,64,76
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100406,5,22,57,61,0,1147,0,215,137,60,28,0,0,0,0,0,0,0,0,0,657,251,782,532,62,67,64,76
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100407,5,22,57,71,0,1157,0,214,136,60,28,0,0,0,0,0,0,0,0,0,659,251,784,533,61,66,63,75
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100408,5,21,57,82,0,1168,0,213,135,59,27,0,0,0,0,0,0,0,0,0,661,251,786,535,61,66,63,75
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100409,5,21,56,92,0,1178,0,212,133,58,27,0,0,0,0,0,0,0,0,0,662,252,788,536,61,65,62,75
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100410,5,21,56,102,0,1188,0,210,132,58,26,0,0,0,0,0,0,0,0,0,664,252,790,538,60,65,62,74
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100411,5,21,55,112,0,1198,0,209,131,57,26,0,0,0,0,0,0,0,0,0,666,253,792,540,60,65,62,74
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100412,5,21,55,121,0,1207,0,207,129,56,25,0,0,0,0,0,0,0,0,0,668,253,794,541,60,64,61,74
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100413,5,20,54,131,0,1217,0,206,128,55,25,0,0,0,0,0,0,0,0,0,670,253,797,543,59,64,61,73
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100414,5,20,54,139,0,1225,0,204,127,55,24,0,0,0,0,0,0,0,0,0,672,254,799,545,59,64,61,73
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100415,5,20,54,147,0,1233,0,202,125,54,24,0,0,0,0,0,0,0,0,0,674,254,801,547,59,64,60,72
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100416,4,20,53,156,0,1242,0,200,124,53,23,0,0,0,0,0,0,0,0,0,676,255,803,548,58,64,60,72
GHCND:USW00012816,GAINESVILLE REGIONAL AIRPORT FL US,20100417,4,20,54,164,0,1250,0,198,123,53,23,0,0,0,0,0,0,0,0,0,678,255,805,550,58,63,60,72
